NAMESPACE            NAME                                           READY   STATUS    RESTARTS   AGE     IP            NODE                   NOMINATED NODE   READINESS GATES
istio-system         istiod-cd9c68bc-2lgsf                          2/2     Running   0          11m     10.244.1.11   kind-1-worker          <none>           <none>
kube-system          coredns-6d4b75cb6d-4r8wz                       1/1     Running   0          20m     10.244.0.3    kind-1-control-plane   <none>           <none>
kube-system          coredns-6d4b75cb6d-6wbkn                       1/1     Running   0          20m     10.244.0.2    kind-1-control-plane   <none>           <none>
kube-system          etcd-kind-1-control-plane                      1/1     Running   0          20m     172.18.0.3    kind-1-control-plane   <none>           <none>
kube-system          kindnet-knpt2                                  1/1     Running   0          20m     172.18.0.3    kind-1-control-plane   <none>           <none>
kube-system          kindnet-xqnq5                                  1/1     Running   0          20m     172.18.0.2    kind-1-worker          <none>           <none>
kube-system          kube-apiserver-kind-1-control-plane            1/1     Running   0          20m     172.18.0.3    kind-1-control-plane   <none>           <none>
kube-system          kube-controller-manager-kind-1-control-plane   1/1     Running   0          20m     172.18.0.3    kind-1-control-plane   <none>           <none>
kube-system          kube-proxy-hwfbf                               1/1     Running   0          20m     172.18.0.3    kind-1-control-plane   <none>           <none>
kube-system          kube-proxy-wgnlp                               1/1     Running   0          20m     172.18.0.2    kind-1-worker          <none>           <none>
kube-system          kube-scheduler-kind-1-control-plane            1/1     Running   0          20m     172.18.0.3    kind-1-control-plane   <none>           <none>
local-path-storage   local-path-provisioner-9cd9bd544-lnt75         1/1     Running   0          20m     10.244.0.4    kind-1-control-plane   <none>           <none>
metallb-system       controller-7476b58756-ppqz2                    1/1     Running   0          17m     10.244.1.2    kind-1-worker          <none>           <none>
metallb-system       speaker-b9gks                                  1/1     Running   0          17m     172.18.0.2    kind-1-worker          <none>           <none>
ns-dns-vl3           nse-vl3-vpp-759db6cbbf-nzkk6                   1/1     Running   0          11m     10.244.1.9    kind-1-worker          <none>           <none>
ns-dns-vl3           vl3-ipam-7cf548964c-scntg                      1/1     Running   0          11m     10.244.1.10   kind-1-worker          <none>           <none>
nsm-system           admission-webhook-k8s-5c4dd8cfb6-b4bsl         1/1     Running   0          13m     10.244.1.4    kind-1-worker          <none>           <none>
nsm-system           forwarder-vpp-swfmr                            1/1     Running   0          13m     172.18.0.2    kind-1-worker          <none>           <none>
nsm-system           nsmgr-k5gc6                                    2/2     Running   0          13m     10.244.1.8    kind-1-worker          <none>           <none>
nsm-system           nsmgr-proxy-54548dff86-5p6l2                   2/2     Running   0          13m     10.244.1.5    kind-1-worker          <none>           <none>
nsm-system           registry-k8s-867c4f555-l5z4f                   1/1     Running   0          13m     10.244.1.6    kind-1-worker          <none>           <none>
nsm-system           registry-proxy-57f784cf66-8t4sq                1/1     Running   0          13m     10.244.1.7    kind-1-worker          <none>           <none>
sample               helloworld-v1-7db7d4488b-45r6r                 3/3     Running   0          6m30s   10.244.1.12   kind-1-worker          <none>           <none>
sample               helloworld-v2-67578f9f54-jffl2                 3/3     Running   0          6m30s   10.244.1.13   kind-1-worker          <none>           <none>
spire                spire-agent-2wpvv                              1/1     Running   0          15m     172.18.0.2    kind-1-worker          <none>           <none>
spire                spire-server-0                                 2/2     Running   0          15m     10.244.1.3    kind-1-worker          <none>           <none>
